17/12/2022 01:23:30AM | Item: MAC-10 | Classic Crate (Field-Tested) | Float: 0.17903642356395721 | Price: 0.37 |
17/12/2022 01:34:00AM | Item: P2000 | Lifted Spirits (Field-Tested) | Float: 0.17112694680690765 | Price: 0.37 |
17/12/2022 01:34:14AM | Item: MP5-SD | Necro Jr. (Field-Tested) | Float: 0.1814747154712677 | Price: 0.38 |
17/12/2022 01:38:05AM | Item: MAC-10 | Ensnared (Field-Tested) | Float: 0.1885189265012741 | Price: 0.37 |
17/12/2022 01:38:20AM | Item: SCAR-20 | Poultrygeist (Field-Tested) | Float: 0.1729646772146225 | Price: 0.37 |
17/12/2022 01:38:37AM | Item: MAG-7 | Foresight (Field-Tested) | Float: 0.18106184899806976 | Price: 0.37 |
17/12/2022 01:38:46AM | Item: MAG-7 | Foresight (Field-Tested) | Float: 0.1554403305053711 | Price: 0.37 |
17/12/2022 01:38:55AM | Item: Sawed-Off | Spirit Board (Field-Tested) | Float: 0.16408053040504456 | Price: 0.36 |
17/12/2022 01:43:51AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.24718455970287323 | Price: 0.4 |
17/12/2022 01:43:57AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.1978810876607895 | Price: 0.4 |
17/12/2022 01:44:02AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.19247330725193024 | Price: 0.4 |
17/12/2022 01:58:48AM | Item: P2000 | Lifted Spirits (Field-Tested) | Float: 0.18960043787956238 | Price: 0.37 |
17/12/2022 02:03:31AM | Item: MAC-10 | Ensnared (Field-Tested) | Float: 0.17098723351955414 | Price: 0.38 |
17/12/2022 02:03:43AM | Item: SCAR-20 | Poultrygeist (Field-Tested) | Float: 0.17251619696617126 | Price: 0.37 |
17/12/2022 02:03:48AM | Item: SCAR-20 | Poultrygeist (Field-Tested) | Float: 0.18422065675258636 | Price: 0.37 |
17/12/2022 02:03:54AM | Item: SCAR-20 | Poultrygeist (Field-Tested) | Float: 0.18431401252746582 | Price: 0.37 |
17/12/2022 02:08:53AM | Item: Sawed-Off | Spirit Board (Field-Tested) | Float: 0.16032077372074127 | Price: 0.38 |
17/12/2022 02:14:03AM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.19382767379283905 | Price: 0.42 |
17/12/2022 02:28:58AM | Item: P2000 | Lifted Spirits (Field-Tested) | Float: 0.18893907964229584 | Price: 0.37 |
17/12/2022 02:33:40AM | Item: SCAR-20 | Poultrygeist (Field-Tested) | Float: 0.1679590344429016 | Price: 0.37 |
17/12/2022 02:33:46AM | Item: SCAR-20 | Poultrygeist (Field-Tested) | Float: 0.1785874217748642 | Price: 0.37 |
